product_pid,transaction_date,uv_fundown,uv_stableown,uv_fundopt,uv_fundmarket,uv_termmarket
1,2022-11-10,14199628.123136379,11652224.135006623,34006641.84378901,42651.027895260006,25150361.833997965
1,2022-11-11,13454363.353315894,11168208.169932082,32063346.955503594,39596.06071561201,24637988.081201863
1,2022-11-12,14082699.35744572,11262015.097334102,37022761.76703088,39104.23206460176,25045599.661907323
1,2022-11-13,14532418.776758436,11659726.246204257,38351731.07478871,38534.55740107865,25833533.09532674
1,2022-11-14,14684857.608546466,12250511.926690781,36187514.39665377,38298.36441874942,26987379.18871621
1,2022-11-15,14659555.435572214,11901383.050445102,36036674.18050951,37316.56454443641,25310242.666245963
1,2022-11-16,14022071.399501728,11052220.209226184,33985007.27933912,38694.19857710578,23558072.967201605
1,2022-11-17,12700207.342293646,9793601.289099984,30652048.67794595,37864.10228484818,20906893.577381518
1,2022-11-18,12276170.615353756,9588784.77544053,29608102.966908198,35669.426465043965,20762293.005804677
1,2022-11-19,12946395.99243947,9642562.626733964,34756193.79750944,34333.66563899412,20842684.066141095
1,2022-11-20,12957626.750632346,9575226.6281836,35087632.87713918,31660.45701319678,20564718.650795605
1,2022-11-21,12372437.317905901,9513351.779981997,31227569.221142534,29127.436258657577,20468190.478964046
1,2022-11-22,11723940.162070101,8701301.82979127,29711026.30030803,26396.718878303014,18043336.95738034
1,2022-11-23,10869825.359731147,7772240.411567093,27286831.063524425,26571.35613590727,16283829.188352443
100,2022-11-10,150751808.59245658,14242276.167610228,94493278.71797918,179582.0913362512,-1180039567.6367264
100,2022-11-11,153971514.9406348,12136165.47244379,91725203.9223591,157342.82094910386,-1119807819.973007
100,2022-11-12,70682728.06602424,-2674851.362158552,50683080.68178943,21083.20379068161,-951838191.7764165
100,2022-11-13,78438171.219082,-942238.4187141582,55154961.02933942,35979.38582293823,-510693194.8863083
100,2022-11-14,319211783.76368225,51157243.11026958,131612151.74493355,444739.5834302911,1270518246.133267
100,2022-11-15,231294662.73305646,29561402.473950103,123280075.12139319,285287.1804961823,469941725.2390375
100,2022-11-16,251547426.59842765,34708045.118878596,131743511.24280378,314018.65317009436,358522660.061916
100,2022-11-17,250067364.22151065,32025778.971865106,133355489.82345662,277429.771771858,483770633.71163154
100,2022-11-18,246308954.13903284,27556534.443755545,128937742.3908428,274617.767723442,802360072.670224
100,2022-11-19,158414646.23230806,11027500.947491072,84532758.78255676,153422.97457080224,1214013583.0941646
100,2022-11-20,168096051.43035105,12565453.58100824,85975861.75247009,177553.14956338666,1834762933.7177312
100,2022-11-21,412701504.58775836,64617379.26049896,160417116.31310898,584463.674630479,3651071787.714303
100,2022-11-22,323384901.8040505,41385076.02434117,150924896.23325917,408416.84388693335,2691228406.6104026
100,2022-11-23,335765202.406127,43331047.75990786,159302963.97335395,409276.3928845727,2245621920.8752112
101,2022-11-10,860654202.1645298,647576875.8958156,269052213.24199396,81286134.00693843,340708677.7845749
101,2022-11-11,837652735.2389419,594110147.4151222,263690669.44863743,73748299.15618649,331574234.82847595
101,2022-11-12,1039353602.8713835,833806301.2764031,315937253.6449231,91005704.89713955,395068505.475396
101,2022-11-13,1036201845.2077204,830609459.1293979,320171301.27104634,73612832.36995542,343385635.5130453
101,2022-11-14,1063710269.8665212,890003053.0238935,301602756.6001001,58602026.69549985,623069417.068565
101,2022-11-15,906130970.3667068,704448376.893345,284342163.3112725,56853224.58734435,288730036.08124954
101,2022-11-16,907550582.455052,724202462.3313358,281527617.410871,70574361.0395643,333422822.22270954
101,2022-11-17,897804585.853361,696799098.5854132,275930731.0326662,71741852.33332126,296188884.2999939
101,2022-11-18,880753541.8091874,642088486.247087,270529735.34072083,65212662.76168817,312731011.32105404
101,2022-11-19,1094070182.8779037,900623567.0618842,320412270.5986621,99457513.17974025,441489671.46478915
101,2022-11-20,1095817573.591373,920629839.4807533,319328191.0284841,106183898.30423936,447565995.410966
101,2022-11-21,1112322657.5159814,986194088.0848403,294072598.52178544,107785831.87756754,734322362.1175876
101,2022-11-22,931347626.333211,779430735.1478763,272018132.0684426,106099565.46818605,350271720.1240519
101,2022-11-23,911231763.9316843,758599814.392031,268887237.9971987,106620315.14663117,322624647.3518184
102,2022-11-10,102520294.49017593,12620551.072988674,106882720.56616938,10292592.107001401,138546968.43638724
102,2022-11-11,94287860.60204118,-8729109.056433871,106138680.00914654,-106898.23444123194,106774595.28126001
102,2022-11-12,53796695.267516494,-2390856.040825665,77387238.81285359,-7363840.561413527,16754055.461515427
102,2022-11-13,44342189.71395859,3451741.1119514555,81783073.32816347,-8755986.756464537,-92566482.53226846
102,2022-11-14,214444300.04476112,181118889.16660678,141169601.8623336,14796254.279880395,517316463.933105
102,2022-11-15,107868789.34684372,67781012.09824802,133221183.79998377,8743201.536778312,-59155749.167692125
102,2022-11-16,118161548.39313936,52817617.18356983,134658378.38829482,3853313.40082293,90423972.21498781
102,2022-11-17,126727303.55852272,44339020.06370403,134517859.28755772,1272305.1393020712,38384429.659042835
102,2022-11-18,110479607.78155123,41114729.397760555,132501600.93342918,6215928.828088788,75335516.4950397
102,2022-11-19,70438931.58586961,61324580.840508394,100969643.34487206,12909702.004790423,95221766.03537613
102,2022-11-20,65675997.679204226,64454509.71974587,99714070.38339332,13627649.266218435,64903399.3487345
102,2022-11-21,235061135.94407088,219251933.34266824,150625450.46586892,26599521.19676085,661527127.8223326
102,2022-11-22,117289546.31685592,72159456.14164494,133809409.20151213,6371089.861941822,-21807805.4478119
102,2022-11-23,110903668.60544255,27888263.097360417,129409258.55591834,-5445343.751874212,-11815817.960174859
103,2022-11-10,1298999407.7645133,195658615.6715911,464760915.88502634,220441.4280001521,207916127.25126076
103,2022-11-11,1270087419.994369,177966279.3809192,454109605.2050439,-46021611.42161965,228673254.3639164
103,2022-11-12,1500306890.672518,197598708.538023,438116478.8216164,-40645213.7114068,183090578.72475982
103,2022-11-13,1496966190.2814188,162201334.32237637,445795900.01375127,28437694.75473219,106504021.68917298
103,2022-11-14,1566817202.5230877,359645861.83562136,545099576.140153,222938818.08870852,789014288.0624743
103,2022-11-15,1343181242.9539852,183413736.4018469,491971681.751747,246565023.1499173,127979407.34720397
103,2022-11-16,1337093481.5996199,192953298.4440552,486317183.4478164,248660186.72354025,315649085.2255228
103,2022-11-17,1322411921.3172438,191794883.6162449,476759973.99385667,173786204.35462144,230125904.7241609
103,2022-11-18,1305647203.9250767,172786802.56233352,472814670.5142556,89698564.195508,202644173.93561822
103,2022-11-19,1540280220.3027225,193682199.65122163,453667741.3576038,42194325.465238824,103784935.11497307
103,2022-11-20,1524506819.0094347,159891963.8932257,446650459.13956535,31336725.135107204,-2517808.9995002747
103,2022-11-21,1571134196.6088557,352262817.32907295,528449370.599721,127205936.41375633,671825472.1664412
103,2022-11-22,1330294250.1841204,161589325.53502774,467179458.3338175,68609622.31426089,-1364166.6307594776
103,2022-11-23,1325779210.0299664,155172119.21024573,467483912.2765243,44500841.50502801,152663979.43499696
104,2022-11-10,1218120204.717659,439364259.33669126,391224268.5584827,17899974.321109988,190091313.6596409
104,2022-11-11,1170605624.5796878,406652865.20905614,381532897.9420512,3217110.538379725,385988411.4919118
104,2022-11-12,1390864467.909813,470388412.13654417,426946337.80007017,10821518.97956366,211881931.18271154
104,2022-11-13,1385951009.9645748,488126171.15817535,432868315.16427034,16427990.3208786,99595740.13353825
104,2022-11-14,1451901952.7014334,710518519.9644042,439156552.81636643,56784086.76518056,534908082.6426432
104,2022-11-15,1258951416.9905128,532462527.0827098,414208664.419767,53686032.88900468,117984671.34597886
104,2022-11-16,1281009856.812479,470326551.90886414,409249678.2856197,48496399.99223317,218204850.30367243
104,2022-11-17,1275605583.6749551,436034773.0911576,405361273.4282533,32193427.354480986,202898451.59914255
104,2022-11-18,1229679762.9318013,401207881.125949,395129176.28226465,4303148.931214288,269588563.48505574
104,2022-11-19,1452831104.2500143,469937234.4456737,436550617.0110711,14272614.020581398,4407739.162109971
104,2022-11-20,1441647893.8231812,487521503.9570273,434919126.97243947,31027329.62753249,-127308817.56294143
104,2022-11-21,1483932292.2032921,700052372.3432398,432367698.17639524,76052708.90577295,336788288.63007444
104,2022-11-22,1255182130.979597,510431214.40807426,401182739.11978644,62112944.70800941,-54610319.81357944
104,2022-11-23,1247257769.311296,447193263.0585505,395456526.661932,36266120.776778534,42956081.412750006
105,2022-11-10,1224854318.7389536,376337730.1288926,410714591.15214795,-1594710.3633388132,837137083.8968767
105,2022-11-11,1191562333.887798,313984713.60874313,401469788.29033744,967671.7779635936,1525961018.137353
105,2022-11-12,1292311720.0422256,352769079.7187985,403289462.6709152,-7788235.651043259,874384331.3062079
105,2022-11-13,1330394811.1042092,360629284.6369547,417332518.12943256,-1476508.4894229323,842904226.1153424
105,2022-11-14,1815675037.7478538,813245269.6949185,514296583.06232107,48107878.27522975,2458512442.2853556
105,2022-11-15,1497141642.7249045,500481878.95748496,473104854.55019325,12356961.499648534,1244278292.480712
105,2022-11-16,1548195312.5152273,498598376.6083081,468766495.02733266,-34860582.17901824,1195877583.22774
105,2022-11-17,1561867720.0980723,470185141.0921626,465976143.20247847,-76753400.80977237,1313286538.0237322
105,2022-11-18,1555080910.0879414,415832416.0138298,457894418.86721015,-52690087.127385564,1463258006.6332042
105,2022-11-19,1657529425.6870387,459916134.10938644,453153923.3020841,-3102965.7062996924,342532766.9153433
105,2022-11-20,1656613151.930268,447803088.1126573,451908633.96002394,72156939.4920394,84109945.4753282
105,2022-11-21,2071098990.98535,856089788.9042566,529882060.0762329,168929760.4642396,1748084237.760051
105,2022-11-22,1681298774.3514795,501496095.7630634,474727909.1098753,141057237.33694947,734644277.7404788
105,2022-11-23,1691364696.2186503,491084528.7265072,467514253.27263767,65426551.42062594,871483781.9377822
106,2022-11-10,2980463217.3234363,1125906849.1357348,1035790781.3286295,615904354.5304382,-833983523.3783664
106,2022-11-11,2893854833.164747,1010644891.8959785,1023184657.2002118,629362169.1608423,-1288758079.1207235
106,2022-11-12,3030628083.490864,1078004821.3616376,1022893951.1415513,735735200.2971808,-2403969833.593617
106,2022-11-13,3095068460.6333714,1119050244.9415436,1058104727.4737725,745008838.5747716,-3015017878.5024376
106,2022-11-14,3802770594.085727,1672899198.0850077,1240477176.4927597,676496093.7364707,-2627641010.042291
106,2022-11-15,3324838405.3447084,1351885800.4326801,1184300297.2046235,650639062.1438012,-3628673194.690098
106,2022-11-16,3354664111.0632687,1336367589.3194816,1174019108.120151,629890519.7822037,-4322863132.545736
106,2022-11-17,3335727803.5493426,1289178756.2998939,1169755422.8375623,610876264.5067792,-4816845402.445243
106,2022-11-18,3220945680.156245,1161320144.8122935,1146677501.3885784,585089579.8786453,-5623573417.849008
106,2022-11-19,3295981241.4043627,1213555764.7145169,1122119693.1256986,643981133.3101565,-7051964935.662009
106,2022-11-20,3246671270.4628067,1219598461.0247214,1116602653.32591,603703108.0495403,-7848465813.659712
106,2022-11-21,3802912857.446245,1715776235.9832067,1250049046.812292,491723383.1439291,-7470664915.265286
